msg_count_gwgw,9888,,,
msg_cnt_gw_ce,4416,,,
value,time,ID,orig_measurement,type
100,2024-01-01 01:15:00,8-2,104,1p_household
100,2024-01-01 01:15:00,8-4,102,1p_household
170,2024-01-01 01:15:00,8-3,172,2p_household
160,2024-01-01 01:30:00,13-1,156,2p_household
160,2024-01-01 01:30:00,13-6,158,2p_household
240,2024-01-01 01:30:00,13-7,238,4p_household
150,2024-01-01 01:30:00,13-0,153,2p_household
95,2024-01-01 01:30:00,13-4,95,1p_household
160,2024-01-01 01:30:00,3-4,164,2p_household
160,2024-01-01 01:30:00,3-6,162,2p_household
240,2024-01-01 01:30:00,3-0,231,4p_household
100,2024-01-01 01:30:00,3-7,100,1p_household
95,2024-01-01 01:30:00,3-1,94,1p_household
960,2024-01-01 01:30:00,3-3,994,store
170,2024-01-01 01:30:00,5-8,166,2p_household
240,2024-01-01 01:30:00,5-7,240,4p_household
150,2024-01-01 01:30:00,5-5,153,2p_household
220,2024-01-01 01:30:00,5-9,223,4p_household
100,2024-01-01 01:30:00,5-3,100,1p_household
95,2024-01-01 01:30:00,5-1,93,1p_household
95,2024-01-01 01:30:00,5-2,95,1p_household
95,2024-01-01 01:30:00,5-10,96,1p_household
90,2024-01-01 01:30:00,5-4,92,1p_household
160,2024-01-01 01:30:00,8-1,160,2p_household
160,2024-01-01 01:30:00,8-3,157,2p_household
240,2024-01-01 01:30:00,8-5,235,3p_household
100,2024-01-01 01:30:00,8-0,100,1p_household
95,2024-01-01 01:30:00,8-4,93,1p_household
160,2024-01-01 01:30:00,11-4,156,2p_household
160,2024-01-01 01:30:00,11-6,158,2p_household
240,2024-01-01 01:30:00,11-3,231,3p_household
220,2024-01-01 01:30:00,11-7,226,3p_household
100,2024-01-01 01:30:00,11-1,100,1p_household
90,2024-01-01 01:30:00,11-2,91,1p_household
240,2024-01-01 01:30:00,13-5,230,4p_household
100,2024-01-01 01:30:00,13-2,98,1p_household
95,2024-01-01 01:30:00,13-3,93,1p_household
95,2024-01-01 01:30:00,13-8,94,1p_household
170,2024-01-01 01:30:00,3-2,166,2p_household
90,2024-01-01 01:30:00,3-5,91,1p_household
90,2024-01-01 01:30:00,3-8,92,1p_household
170,2024-01-01 01:30:00,5-0,165,2p_household
240,2024-01-01 01:30:00,5-6,238,4p_household
160,2024-01-01 01:30:00,8-6,156,2p_household
90,2024-01-01 01:30:00,8-2,91,1p_household
100,2024-01-01 01:30:00,11-5,98,1p_household
95,2024-01-01 01:30:00,11-8,93,1p_household
90,2024-01-01 01:30:00,11-0,91,1p_household
240,2024-01-01 01:45:00,3-0,231,4p_household
1040,2024-01-01 01:45:00,3-3,1019,store
95,2024-01-01 01:45:00,3-8,95,1p_household
150,2024-01-01 01:45:00,5-5,154,2p_household
150,2024-01-01 01:45:00,5-0,145,2p_household
150,2024-01-01 01:45:00,5-8,147,2p_household
220,2024-01-01 01:45:00,5-9,215,4p_household
220,2024-01-01 01:45:00,5-6,214,4p_household
95,2024-01-01 01:45:00,5-1,95,1p_household
95,2024-01-01 01:45:00,5-4,93,1p_household
90,2024-01-01 01:45:00,5-3,90,1p_household
150,2024-01-01 01:45:00,8-3,154,2p_household
220,2024-01-01 01:45:00,8-5,221,3p_household
90,2024-01-01 01:45:00,8-4,92,1p_household
150,2024-01-01 01:45:00,11-4,151,2p_household
90,2024-01-01 01:45:00,11-5,88,1p_household
160,2024-01-01 01:45:00,13-1,158,2p_household
150,2024-01-01 01:45:00,13-6,152,2p_household
220,2024-01-01 01:45:00,13-7,216,4p_household
90,2024-01-01 01:45:00,13-8,89,1p_household
160,2024-01-01 01:45:00,3-6,156,2p_household
150,2024-01-01 01:45:00,3-2,152,2p_household
150,2024-01-01 01:45:00,3-4,151,2p_household
95,2024-01-01 01:45:00,3-5,93,1p_household
95,2024-01-01 01:45:00,3-7,95,1p_household
90,2024-01-01 01:45:00,3-1,88,1p_household
220,2024-01-01 01:45:00,5-7,222,4p_household
90,2024-01-01 01:45:00,5-2,91,1p_household
90,2024-01-01 01:45:00,5-10,89,1p_household
160,2024-01-01 01:45:00,8-1,158,2p_household
160,2024-01-01 01:45:00,8-6,157,2p_household
90,2024-01-01 01:45:00,8-2,89,1p_household
90,2024-01-01 01:45:00,8-0,89,1p_household
150,2024-01-01 01:45:00,11-6,148,2p_household
220,2024-01-01 01:45:00,11-7,212,3p_household
220,2024-01-01 01:45:00,11-3,228,3p_household
95,2024-01-01 01:45:00,11-8,95,1p_household
95,2024-01-01 01:45:00,11-2,95,1p_household
90,2024-01-01 01:45:00,11-0,92,1p_household
90,2024-01-01 01:45:00,11-1,90,1p_household
160,2024-01-01 01:45:00,13-0,158,2p_household
220,2024-01-01 01:45:00,13-5,212,4p_household
95,2024-01-01 01:45:00,13-3,93,1p_household
95,2024-01-01 01:45:00,13-4,95,1p_household
95,2024-01-01 01:45:00,13-2,95,1p_household
90,2024-01-01 02:00:00,5-4,89,1p_household
90,2024-01-01 02:00:00,5-2,92,1p_household
150,2024-01-01 02:00:00,8-6,153,2p_household
90,2024-01-01 02:00:00,8-4,89,1p_household
85,2024-01-01 02:00:00,8-0,86,1p_household
85,2024-01-01 02:00:00,8-2,87,1p_household
90,2024-01-01 02:00:00,11-0,89,1p_household
90,2024-01-01 02:00:00,11-5,91,1p_household
150,2024-01-01 02:00:00,3-4,146,2p_household
200,2024-01-01 02:00:00,3-0,208,4p_household
90,2024-01-01 02:00:00,3-8,88,1p_household
90,2024-01-01 02:00:00,3-7,91,1p_household
85,2024-01-01 02:00:00,3-1,87,1p_household
150,2024-01-01 02:00:00,5-5,149,2p_household
150,2024-01-01 02:00:00,5-0,149,2p_household
150,2024-01-01 02:00:00,5-8,147,2p_household
220,2024-01-01 02:00:00,5-9,225,4p_household
200,2024-01-01 02:00:00,5-6,207,4p_household
200,2024-01-01 02:00:00,5-7,207,4p_household
95,2024-01-01 02:00:00,5-10,93,1p_household
85,2024-01-01 02:00:00,5-1,85,1p_household
85,2024-01-01 02:00:00,5-3,85,1p_household
140,2024-01-01 02:00:00,8-1,141,2p_household
140,2024-01-01 02:00:00,8-3,143,2p_household
220,2024-01-01 02:00:00,8-5,225,3p_household
150,2024-01-01 02:00:00,11-6,151,2p_household
140,2024-01-01 02:00:00,11-4,141,2p_household
220,2024-01-01 02:00:00,11-7,216,3p_household
220,2024-01-01 02:00:00,11-3,225,3p_household
95,2024-01-01 02:00:00,11-8,93,1p_household
95,2024-01-01 02:00:00,11-1,93,1p_household
90,2024-01-01 02:00:00,11-2,90,1p_household
150,2024-01-01 02:00:00,13-6,151,2p_household
150,2024-01-01 02:00:00,13-1,147,2p_household
140,2024-01-01 02:00:00,13-0,143,2p_household
220,2024-01-01 02:00:00,13-5,220,4p_household
220,2024-01-01 02:00:00,13-7,222,4p_household
90,2024-01-01 02:00:00,13-8,88,1p_household
90,2024-01-01 02:00:00,13-3,88,1p_household
90,2024-01-01 02:00:00,13-4,89,1p_household
85,2024-01-01 02:00:00,13-2,86,1p_household
