1704067200.0,10-2,280
1704067200.0,10-3,190
1704067200.0,10-4,110
1704067200.0,10-5,180
1704067200.0,10-6,110
1704067200.0,10-7,180
1704067200.0,10-8,120
1704067200.0,10-9,120
1704067200.0,0-0,260
1704067200.0,0-1,190
1704067200.0,0-2,190
1704067200.0,0-3,110
1704067200.0,0-4,110
1704067200.0,0-5,110
1704067200.0,0-6,110
1704068100.0,5-0,170
1704068100.0,5-1,240
1704068100.0,5-2,100
1704068100.0,5-3,170
1704068100.0,5-4,260
1704068100.0,5-5,170
1704068100.0,5-6,240
1704068100.0,5-7,180
1704068100.0,4-0,240
1704068100.0,4-1,240
1704068100.0,4-2,100
1704068100.0,4-3,160
1704068100.0,4-4,100
1704068100.0,4-5,160
1704068100.0,4-6,170
1704068100.0,4-7,240
1704068100.0,4-8,170
1704068100.0,4-9,160
1704068100.0,4-10,1040
1704068100.0,4-11,100
1704068100.0,4-12,100
1704068100.0,14-0,260
1704068100.0,14-1,240
1704068100.0,14-2,100
1704068100.0,14-3,100
1704068100.0,14-4,170
1704068100.0,14-5,260
1704068100.0,14-6,100
1704068100.0,14-7,170
1704068100.0,14-8,170
1704068100.0,14-9,100
1704068100.0,10-0,170
1704068100.0,10-1,240
1704068100.0,10-2,240
1704068100.0,10-3,170
1704068100.0,10-4,100
1704068100.0,10-5,160
1704068100.0,10-6,100
1704068100.0,10-7,170
1704068100.0,10-8,100
1704068100.0,10-9,100
1704068100.0,0-0,240
1704068100.0,0-1,170
1704068100.0,0-2,180
1704068100.0,0-3,110
1704068100.0,0-4,100
1704068100.0,0-5,100
1704068100.0,0-6,110
1704069000.0,5-0,150
1704069000.0,5-1,240
1704069000.0,5-2,95
1704069000.0,5-3,160
1704069000.0,5-4,220
1704069000.0,5-5,160
1704069000.0,5-6,240
1704069000.0,5-7,170
1704069000.0,4-0,240
1704069000.0,4-1,240
1704069000.0,4-2,95
1704069000.0,4-3,160
1704069000.0,4-4,95
1704069000.0,4-5,160
1704069000.0,4-6,150
1704069000.0,4-7,220
1704069000.0,4-8,160
1704069000.0,4-9,150
1704069000.0,4-10,960
1704069000.0,4-11,95
1704069000.0,4-12,100
1704069000.0,14-0,240
1704069000.0,14-1,220
1704069000.0,14-2,100
1704069000.0,14-3,95
1704069000.0,14-4,160
1704069000.0,14-5,240
1704069000.0,14-6,90
1704069000.0,14-7,160
1704069000.0,14-8,160
1704069000.0,14-9,100
1704069000.0,10-0,160
1704069000.0,10-1,240
1704069000.0,10-2,220
1704069000.0,10-3,150
1704069000.0,10-4,95
1704069000.0,10-5,160
1704069000.0,10-6,95
1704069000.0,10-7,160
1704069000.0,10-8,100
1704069000.0,10-9,95
1704069000.0,0-0,240
1704069000.0,0-1,150
1704069000.0,0-2,160
1704069000.0,0-3,95
1704069000.0,0-4,90
1704069000.0,0-5,90
1704069000.0,0-6,95
1704069900.0,5-0,160
1704069900.0,5-1,220
1704069900.0,5-2,90
1704069900.0,5-3,150
1704069900.0,5-4,220
1704069900.0,5-5,150
1704069900.0,5-6,220
1704069900.0,5-7,150
1704069900.0,4-0,220
1704069900.0,4-1,220
1704069900.0,4-2,90
1704069900.0,4-3,160
1704069900.0,4-4,95
1704069900.0,4-5,150
1704069900.0,4-6,150
1704069900.0,4-7,240
1704069900.0,4-8,150
1704069900.0,4-9,150
1704069900.0,4-10,1040
1704069900.0,4-11,90
1704069900.0,4-12,95
1704069900.0,14-0,240
1704069900.0,14-1,220
1704069900.0,14-2,90
1704069900.0,14-3,90
1704069900.0,14-4,150
1704069900.0,14-5,220
1704069900.0,14-6,90
1704069900.0,14-7,160
1704069900.0,14-8,150
1704069900.0,14-9,90
1704069900.0,10-0,150
1704069900.0,10-1,220
1704069900.0,10-2,220
1704069900.0,10-3,160
1704069900.0,10-4,90
1704069900.0,10-5,160
1704069900.0,10-6,90
1704069900.0,10-7,160
1704069900.0,10-8,95
1704069900.0,10-9,90
1704069900.0,0-0,220
1704069900.0,0-1,160
1704069900.0,0-2,150
1704069900.0,0-3,90
