1704074400.0	4-1	200	6
1704074400.0	4-2	200	6
1704074400.0	4-3	140	15
1704074400.0	4-4	85	17
1704074400.0	4-5	200	6
1704074400.0	3-0	80	3
1704074400.0	3-1	150	15
1704074400.0	3-2	220	7
1704074400.0	3-3	140	15
1704074400.0	3-4	90	16
1704074400.0	3-5	140	15
1704074400.0	3-6	90	16
1704074400.0	3-7	85	17
1704074400.0	3-8	140	15
1704075300.0	13-0	85	17
1704075300.0	13-1	85	17
1704075300.0	13-2	90	16
1704075300.0	13-3	140	15
1704075300.0	13-4	140	15
1704075300.0	13-5	200	6
1704075300.0	7-0	85	17
1704075300.0	7-1	140	15
1704075300.0	7-2	85	17
1704075300.0	7-3	80	4
1704075300.0	7-4	90	16
1704075300.0	7-5	85	17
1704075300.0	7-6	140	15
1704075300.0	7-7	200	6
1704075300.0	7-8	80	5
1704075300.0	10-0	140	15
1704075300.0	10-1	90	17
1704075300.0	10-2	200	6
1704075300.0	10-3	140	15
1704075300.0	10-4	140	15
1704075300.0	10-5	140	15
1704075300.0	10-6	85	17
1704075300.0	10-7	1040	1
1704075300.0	10-8	140	15
1704075300.0	10-9	85	17
1704075300.0	4-0	150	15
1704075300.0	4-1	200	6
1704075300.0	4-2	200	6
1704075300.0	4-3	140	15
1704075300.0	4-4	80	6
1704075300.0	4-5	220	7
1704075300.0	3-0	85	17
1704075300.0	3-1	140	15
1704075300.0	3-2	200	7
1704075300.0	3-3	140	15
1704075300.0	3-4	85	17
1704075300.0	3-5	140	15
1704075300.0	3-6	85	17
1704075300.0	3-7	85	17
1704075300.0	3-8	140	15
1704076200.0	13-0	85	17
1704076200.0	13-1	90	17
1704076200.0	13-2	90	17
1704076200.0	13-3	130	1
1704076200.0	13-4	150	15
1704076200.0	13-5	220	7
1704076200.0	7-0	80	7
1704076200.0	7-1	140	15
1704076200.0	7-2	80	8
1704076200.0	7-3	80	8
1704076200.0	7-4	80	9
1704076200.0	7-5	85	17
1704076200.0	7-6	140	15
1704076200.0	7-7	200	7
1704076200.0	7-8	85	17
1704076200.0	10-0	140	15
1704076200.0	10-1	85	17
1704076200.0	10-2	200	7
1704076200.0	10-3	140	15
1704076200.0	10-4	150	15
1704076200.0	10-5	140	15
1704076200.0	10-6	90	17
1704076200.0	10-7	960	1
1704076200.0	10-8	140	15
1704076200.0	10-9	85	17
1704076200.0	4-0	140	15
1704076200.0	4-1	200	7
1704076200.0	4-2	220	7
1704076200.0	4-3	130	2
1704076200.0	4-4	85	17
1704076200.0	4-5	200	7
1704076200.0	3-0	80	9
1704076200.0	3-1	140	15
1704076200.0	3-2	200	7
1704076200.0	3-3	150	15
1704076200.0	3-4	80	10
1704076200.0	3-5	140	15
1704076200.0	3-6	80	11
1704076200.0	3-7	85	17
1704076200.0	3-8	140	15
1704077100.0	13-0	80	12
1704077100.0	13-1	90	17
1704077100.0	13-2	85	17
1704077100.0	13-3	140	15
1704077100.0	13-4	140	15
1704077100.0	13-5	200	7
1704077100.0	7-0	85	17
1704077100.0	7-1	130	3
1704077100.0	7-2	80	12
1704077100.0	7-3	85	17
1704077100.0	7-4	85	17
1704077100.0	7-5	80	13
1704077100.0	7-6	140	15
1704077100.0	7-7	190	1
1704077100.0	7-8	80	13
1704077100.0	10-0	140	15
1704077100.0	10-1	85	17
1704077100.0	10-2	200	7
1704077100.0	10-3	130	4
1704077100.0	10-4	140	15
1704077100.0	10-5	140	15
1704077100.0	10-6	80	14
1704077100.0	10-7	1040	1
1704077100.0	10-8	130	5
1704077100.0	10-9	80	15
1704077100.0	4-0	140	15
1704077100.0	4-1	190	2
1704077100.0	4-2	220	7
1704077100.0	4-3	130	5
1704077100.0	4-4	90	17
1704077100.0	4-5	200	7
1704077100.0	3-0	80	15
1704077100.0	3-1	140	15
1704077100.0	3-2	200	7
1704077100.0	3-3	140	15
1704077100.0	3-4	85	17
1704077100.0	3-5	140	15
1704077100.0	3-6	85	17
1704077100.0	3-7	85	17
1704077100.0	3-8	130	6
1704078000.0	13-0	80	15
1704078000.0	13-1	85	17
1704078000.0	13-2	85	17
1704078000.0	13-3	140	15
1704078000.0	13-4	130	7
1704078000.0	13-5	200	7
1704078000.0	7-0	85	17
1704078000.0	7-1	150	15
1704078000.0	7-2	90	17
1704078000.0	7-3	80	15
1704078000.0	7-4	85	17
1704078000.0	7-5	90	17
1704078000.0	7-6	130	8
1704078000.0	7-7	220	6
1704078000.0	7-8	80	15
1704078000.0	10-0	150	15
1704078000.0	10-1	85	17
1704078000.0	10-2	220	6
1704078000.0	10-3	140	15
1704078000.0	10-4	140	15
1704078000.0	10-5	140	15
1704078000.0	10-6	85	17
1704078000.0	10-7	960	1
1704078000.0	10-8	140	15
